"BRC_NAMES","BRC_NUMBER","AMALG_BRC_NAME","AMALG_BRC_CODE","GROWTH_FORM"
"Filipendula ulmaria",920833,"Filipendula ulmaria",920833,"f"
"Filipendula vulgaris",920834,"Filipendula vulgaris",920834,"f"
"Fissidens adianthoides",820257,"Fissidens adianthoides",820257,"b"
"Fissidens bryoides",820260,"Fissidens bryoides",820260,"b"
"Fissidens dubius",8201147,"Fissidens dubius",8201147,"b"
"Fissidens sp.",8201147,"Fissidens sp.",8201147,"b"
"Fissidens taxifolius",820274,"Fissidens taxifolius",820274,"b"
"Fontinalis antipyretica",820276,"Fontinalis antipyretica",820276,"b"
"Fragaria sp.",200001619,"Fragaria sp.",200001619,"f"
"Fragaria vesca",920838,"Fragaria vesca",920838,"f"
"Frangula alnus",920839,"Frangula alnus",920839,"w"
"Fraxinus excelsior",920841,"Fraxinus excelsior",920841,"w"
"Fraxinus excelsior (c)",920841,"Fraxinus excelsior",920841,"w"
"Fraxinus excelsior (g)",920841,"Fraxinus excelsior",920841,"w"
"Frullania tamarisci",810768,"Frullania tamarisci",810768,"b"
"Fumaria officinalis",920854,"Fumaria officinalis",920854,"f"
"Galeopsis angustifolia",920863,"Galeopsis angustifolia",920863,"f"
"Galeopsis bifida",920864,"Galeopsis bifida",920864,"f"
"Galeopsis sp.",9204931,"Galeopsis sp.",9204931,"f"
"Galeopsis speciosa",920867,"Galeopsis speciosa",920867,"f"
"Galeopsis tetrahit agg.",920868,"Galeopsis tetrahit agg.",920868,"f"
"Galium aparine",920873,"Galium aparine",920873,"f"
"Galium boreale",920874,"Galium boreale",920874,"f"
"Galium mollugo",920879,"Galium mollugo",920879,"f"
"Galium odoratum",920183,"Galium odoratum",920183,"f"
"Galium palustre",920882,"Galium palustre",920882,"f"
"Galium pumilum",920883.1,"Galium pumilum",920883.1,"f"
"Galium saxatile",920878,"Galium saxatile",920878,"f"
"Galium sp.",9204533,"Galium sp.",9204533,"f"
"Galium sterneri",920883.2,"Galium sterneri",920883.2,"f"
"Galium uliginosum",920887,"Galium uliginosum",920887,"f"
"Galium verum",920888,"Galium verum",920888,"f"
"Genista anglica",920891,"Genista anglica",920891,"f"
"Genista tinctoria",920893,"Genista tinctoria",920893,"f"
"Geranium columbinum",920906,"Geranium columbinum",920906,"f"
"Geranium dissectum",920907,"Geranium dissectum",920907,"f"
"Geranium molle",920911,"Geranium molle",920911,"f"
"Geranium pratense",920914,"Geranium pratense",920914,"f"
"Geranium pusillum",920916,"Geranium pusillum",920916,"f"
"Geranium robertianum",920918,"Geranium robertianum",920918,"f"
"Geranium sanguineum",920920,"Geranium sanguineum",920920,"f"
"Geranium sp.",9204535,"Geranium sp.",9204535,"f"
"Geranium sylvaticum",920921,"Geranium sylvaticum",920921,"f"
"Geum rivale",920924,"Geum rivale",920924,"f"
"Geum rivale x urbanum (G. x interme",920923,"Geum rivale x urbanum (G. x intermedium)",920923,"f"
"Geum rivale x urbanum (G. x intermedium)",920923,"Geum rivale x urbanum (G. x intermedium)",920923,"f"
"Geum sp.",200001680,"Geum sp.",200001680,"f"
"Geum urbanum",920925,"Geum urbanum",920925,"f"
"Glechoma hederacea",920931,"Glechoma hederacea",920931,"f"
"Glyceria declinata",920932,"Glyceria declinata",920932,"g"
"Glyceria fluitans",920933,"Glyceria fluitans",920933,"g"
"Glyceria maxima",920934,"Glyceria maxima",920934,"g"
"Glyceria notata",920936,"Glyceria notata",920936,"g"
"Glyceria seedling/sp",9204943,"Glyceria seedling/sp",9204943,"g"
"Gnaphalium sp.",9204944,"Gnaphalium sp.",9204944,"f"
"Gnaphalium uliginosum",920941,"Gnaphalium uliginosum",920941,"f"
"Goodyera repens",920943,"Goodyera repens",920943,"m"
"Gymnadenia conopsea",920948,"Gymnadenia conopsea",920948,"m"
"Gymnocarpium dryopteris",9102050,"Gymnocarpium dryopteris",9102050,"fe"
"Gymnocarpium robertianum",9102054,"Gymnocarpium robertianum",9102054,"fe"
"Hammarbya paludosa",920951,"Hammarbya paludosa",920951,"f"
"Hedera helix",920952,"Hedera helix",920952,"w"
"Helianthemum nummularium",920955,"Helianthemum nummularium",920955,"w"
"Helictotrichon pubescens",920962,"Helictotrichon pubescens",920962,"g"
"Helleborus sp.",200004000,"Helleborus sp.",200004000,"f"
"Heracleum sphondylium",920968,"Heracleum sphondylium",920968,"f"
"Herbertus aduncus",810783,"Herbertus aduncus",810783,"b"
"Heterocladium heteropterum",820331,"Heterocladium heteropterum",820331,"b"
"Hieracium 'indeterminate'",9202560,"Hieracium 'indeterminate'",9202560,"f"
"Holcus lanatus",920983,"Holcus lanatus",920983,"g"
"Holcus mollis",920984,"Holcus mollis",920984,"g"
"Homalothecium sericeum",820128,"Homalothecium sericeum",820128,"b"
"Hookeria lucens",820335,"Hookeria lucens",820335,"b"
"Hordelymus europaeus",920989,"Hordelymus europaeus",920989,"g"
"Hordeum distichon sens.lat.",9204368,"Hordeum distichon sens.lat.",9204368,"g"
"Hordeum sp.",200001626,"Hordeum sp.",200001626,"g"
"Humulus lupulus",920996,"Humulus lupulus",920996,"f"
"Huperzia selago",9101217,"Huperzia selago",9101217,"f"
"Hyacinthoides non-scripta",920687,"Hyacinthoides non-scripta",920687,"m"
"Hydrangea spp.",200001690,"Hydrangea spp.",200001690,"f"
"Hydrocotyle vulgaris",920999,"Hydrocotyle vulgaris",920999,"f"
"Hylocomium brevirostre",820344,"Hylocomium brevirostre",820344,"b"
"Hylocomium splendens",820346,"Hylocomium splendens",820346,"b"
"Hylocomium umbratum",820347,"Hylocomium umbratum",820347,"b"
"Hymenophyllum wilsonii",9101001,"Hymenophyllum wilsonii",9101001,"fe"
"Hyocomium armoricum",820348,"Hyocomium armoricum",820348,"b"
"Hypericum androsaemum",9201003,"Hypericum androsaemum",9201003,"f"
"Hypericum calycinum",9201004,"Hypericum calycinum",9201004,"f"
"Hypericum hirsutum",9201010,"Hypericum hirsutum",9201010,"f"
"Hypericum humifusum",9201011,"Hypericum humifusum",9201011,"f"
"Hypericum maculatum",9201006,"Hypericum maculatum",9201006,"f"
"Hypericum montanum",9201013,"Hypericum montanum",9201013,"f"
"Hypericum perforatum",9201014,"Hypericum perforatum",9201014,"f"
"Hypericum pulchrum",9201015,"Hypericum pulchrum",9201015,"f"
"Hypericum sp.",9204536,"Hypericum sp.",9204536,"f"
"Hypericum tetrapterum",9201016,"Hypericum tetrapterum",9201016,"f"
"Hypnum cupressiforme sens.lat.",820351,"Hypnum cupressiforme sens.lat.",820351,"b"
"Hypnum jutlandicum",820351.2,"Hypnum jutlandicum",820351.2,"b"
"Hypnum mammillatum",820351.5,"Hypnum mammillatum",820351.5,"b"
"Hypnum sp.",8201167,"Hypnum sp.",8201167,"b"
"Hypochaeris radicata",9201020,"Hypochaeris radicata",9201020,"f"
"Hypochoeris spp.",200001584,"Hypochaeris radicata",9201020,"f"
"Hypogymnia physodes",5503050,"Hypogymnia physodes",5503050,"l"
"Hypogymnia sp.",5505982,"Hypogymnia sp.",5505982,"l"
"Ilex aquifolium",9201023,"Ilex aquifolium",9201023,"w"
"Impatiens capensis",9201025,"Impatiens capensis",9201025,"f"
"Impatiens glandulifera",9201026,"Impatiens glandulifera",9201026,"f"
"Impatiens noli-tangere",9201027,"Impatiens noli-tangere",9201027,"f"
"Impatiens parviflora",9201028,"Impatiens parviflora",9201028,"f"
"Impatiens sp.",200001629,"Impatiens sp.",200001629,"f"
"Inula conyzae",9201030,"Inula conyzae",9201030,"f"
"Iris foetidissima",9201036,"Iris foetidissima",9201036,"m"
"Iris pseudacorus",9201038,"Iris pseudacorus",9201038,"m"
"Isolepis setacea",9201047,"Isolepis setacea",9201047,"m"
"Isopterygium elegans",820357,"Isopterygium elegans",820357,"b"
"Isothecium myosuroides",820362,"Isothecium myosuroides",820362,"b"
"Jasione montana",9201048,"Jasione montana",9201048,"f"
"Juglans regia",9201049,"Juglans regia",9201049,"w"
"Juncus acutiflorus",9201050,"Juncus articulatus/acutiflorus",20000228,"m"
"Juncus articulatus",9201054,"Juncus articulatus/acutiflorus",20000228,"m"
"Juncus articulatus/acutiflora",20000228,"Juncus articulatus/acutiflorus",20000228,"m"
"Juncus bufonius sens.lat.",9201057,"Juncus bufonius sens.lat.",9201057,"m"
"Juncus bufonius/bulbosus",200001478,"Juncus bufonius/bulbosus",200001478,"m"
"Juncus bulbosus",9201058,"Juncus bulbosus",9201058,"m"
"Juncus conglomeratus",9201063,"Juncus conglomeratus",9201063,"m"
"Juncus effusus",9201067,"Juncus effusus",9201067,"m"
"Juncus inflexus",9201070,"Juncus inflexus",9201070,"m"
"Juncus sp.",9204586,"Juncus sp.",9204586,"m"
"Juncus squarrosus",9201075,"Juncus squarrosus",9201075,"m"
"Juncus tenuis",9201077,"Juncus tenuis",9201077,"m"
"Jungermannia atrovirens",810947,"Jungermannia atrovirens",810947,"b"
"Juniperus communis",9201080,"Juniperus communis",9201080,"w"
"Knautia arvensis",9201084,"Knautia arvensis",9201084,"f"
"Koeleria macrantha",9201087,"Koeleria macrantha",9201087,"g"
"Kurzia pauciflora",810808,"Kurzia pauciflora",810808,"b"
"Kurzia trichoclados",810810,"Kurzia trichoclados",810810,"b"
"Laburnum anagyroides",9201091,"Laburnum anagyroides",9201091,"w"
"Lamiastrum galeobdolon",920862,"Lamiastrum galeobdolon",920862,"f"
"Lamiastrum galeobdolon subsp. argentatum",9202667,"Lamiastrum galeobdolon subsp. argentatum",9202667,"f"
"Lamium album",9201098,"Lamium album",9201098,"f"
"Lamium purpureum",9201103,"Lamium purpureum",9201103,"f"
"Lamium sp.",9205009,"Lamium sp.",9205009,"f"
"Lapsana communis",9201104,"Lapsana communis",9201104,"f"
"Larix decidua",9201105,"Larix sp.",9204441,"w"
"Larix kaempferi",9202302,"Larix sp.",9204442,"w"
"Larix sp.",9204442,"Larix sp.",9204442,"w"
"Lathraea squamaria",9201107,"Lathraea squamaria",9201107,"f"
"Lathyrus linifolius",9201112,"Lathyrus linifolius",9201112,"f"
"Lathyrus pratensis",9201116,"Lathyrus pratensis",9201116,"f"
"Lathyrus seedling/sp",9204537,"Lathyrus seedling/sp",9204537,"f"
"Lathyrus sylvestris",9201117,"Lathyrus sylvestris",9201117,"f"
"Leafy Liverwort",NA,"Leafy Liverwort",NA,""
"Lejeunea patens",810803,"Lejeunea patens",810803,"b"
"Lemna minor",9201126,"Lemna sp.",9204538,"aq"
"Lemna sp.",9204538,"Lemna sp.",9204538,"aq"
"Leontodon autumnalis",9201129,"Leontodon autumnalis",9201129,"f"
"Leontodon hispidus",9201130,"Leontodon hispidus",9201130,"f"
"Leontodon saxatilis",9201131,"Leontodon saxatilis",9201131,"f"
"Leontodon sp.",9204539,"Leontodon sp.",9204539,"f"
"Lepidozia reptans",810807,"Lepidozia reptans",810807,"b"
"Leucanthemum vulgare",920502,"Leucanthemum vulgare",920502,"f"
"Leucobryum glaucum",820374,"Leucobryum glaucum",820374,"b"
"Leymus arenarius",920682,"Leymus arenarius",920682,"g"
"Ligustrum ovalifolium",9202250,"Ligustrum ovalifolium",9202250,"w"
"Ligustrum sp.",9205026,"Ligustrum sp.",9205026,"f"
"Ligustrum vulgare",9201144,"Ligustrum vulgare",9201144,"w"
"Linaria vulgaris",9201164,"Linaria vulgaris",9201164,"f"
"Linum catharticum",9201169,"Linum catharticum",9201169,"f"
"Listera cordata",9201172,"Listera cordata",9201172,"m"
"Listera ovata",9201173,"Listera ovata",9201173,"m"
"Lithospermum officinale",9201174,"Lithospermum officinale",9201174,"f"
"Litter",20000887.1,"Litter",20000887.1,""
"Liverwort",NA,"Liverwort",NA,"b"
"Lolium multiflorum",9201182,"Lolium multiflorum",9201182,"g"
"Lolium perenne",9201183,"Lolium perenne",9201183,"g"
"Lonicera nitida",9202613,"Lonicera nitida",9202613,"w"
"Lonicera periclymenum",9201188,"Lonicera periclymenum",9201188,"w"
"Lophocolea bidentata sens.lat.",8101056,"Lophocolea bidentata sens.lat.",8101056,"b"
"Lophocolea heterophylla",810814,"Lophocolea heterophylla",810814,"b"
"Lophocolea sp.",8101308,"Lophocolea sp.",8101308,"b"
"Lophozia incisa",810819,"Lophozia incisa",810819,"b"
"Lophozia sp",200001390,"Lophozia sp",200001390,"b"
"Lophozia sudetica",810815,"Lophozia sudetica",810815,"b"
"Lophozia ventricosa",810824,"Lophozia ventricosa",810824,"b"
"Lotus corniculatus",9201191,"Lotus corniculatus",9201191,"f"
"Lotus pedunculatus",9201194,"Lotus pedunculatus",9201194,"f"
"Lunularia cruciata",810826,"Lunularia cruciata",810826,"b"
"Luzula campestris",9201201,"Luzula campestris/multiflora",9205049,"m"
"Luzula campestris/multiflora",9205049,"Luzula campestris/multiflora",9205049,"m"
"Luzula multiflora",9201204,"Luzula campestris/multiflora",9205049,"m"
"Luzula forsteri",9201202,"Luzula forsteri",9201202,"m"
"Luzula luzuloides",9201203,"Luzula luzuloides",9201203,"m"
"Luzula pilosa",9201207,"Luzula pilosa",9201207,"m"
"Luzula sp.",200001141,"Luzula sp.",200001141,"m"
"Luzula sylvatica",9201209,"Luzula sylvatica",9201209,"m"
"Lychnis flos-cuculi",9201210,"Lychnis flos-cuculi",9201210,"f"
"Lycopodium annotinum",9101214,"Lycopodium annotinum",9101214,"fe"
"Lycopodium clavatum",9101215,"Lycopodium clavatum",9101215,"fe"
"Lycopus europaeus",9201219,"Lycopus europaeus",9201219,"f"
"Lysimachia nemorum",9201221,"Lysimachia nemorum",9201221,"f"
"Lysimachia nummularia",9201222,"Lysimachia nummularia",9201222,"f"
"Lysimachia seedling/sp",9205055,"Lysimachia seedling/sp",9205055,"f"
"Lysimachia thyrsiflora",9201350,"Lysimachia thyrsiflora",9201350,"f"
"Lysimachia vulgaris",9201225,"Lysimachia vulgaris",9201225,"f"
"Lythrum portula",9201444,"Lythrum portula",9201444,"f"
"Lythrum salicaria",9201227,"Lythrum salicaria",9201227,"f"
"Mahonia aquifolium",9201228,"Mahonia aquifolium",9201228,"w"
"Malus domestica",9201230.1,"Malus domestica",9201230.1,"w"
"Malus sylvestris",9201230,"Malus sylvestris",9201230,"w"
"Malva sp.",200001638,"Malva sp.",200001638,"f"
"Malva sylvestris",9201236,"Malva sylvestris",9201236,"f"
"Marchantia polymorpha",810827,"Marchantia polymorpha",810827,"b"
"Marsupella emarginata",810831,"Marsupella emarginata",810831,"b"
"Matricaria discoidea",9201242,"Matricaria discoidea",9201242,"f"
"Matricaria recutita",9201239,"Matricaria recutita",9201239,"f"
"Matricaria sp.",200001639,"Matricaria sp.",200001639,"f"
"Meconopsis cambrica",9201246,"Meconopsis cambrica",9201246,"f"
"Medicago arabica",9201247,"Medicago arabica",9201247,"f"
"Medicago lupulina",9201250,"Medicago lupulina",9201250,"f"
"Melampyrum cristatum",9201255,"Melampyrum cristatum",9201255,"f"
"Melampyrum pratense",9201256,"Melampyrum pratense",9201256,"f"
"Melampyrum sp.",200001640,"Melampyrum sp.",200001640,"f"
"Melampyrum sylvaticum",9201257,"Melampyrum sylvaticum",9201257,"f"
"Melica nutans",9201262,"Melica nutans",9201262,"g"
"Melica uniflora",9201263,"Melica uniflora",9201263,"g"
"Melilotus officinalis",9201267,"Melilotus officinalis",9201267,"f"
"Mentha aquatica",9201272,"Mentha aquatica",9201272,"f"
"Mentha aquatica x spicata (M. x piperita)",9201279,"Mentha aquatica x spicata (M. x piperita)",9201279,"f"
"Mentha arvensis",9201273,"Mentha arvensis",9201273,"f"
"Mentha sp.",9204443,"Mentha sp.",9204443,"f"
"Menyanthes trifoliata",9201289,"Menyanthes trifoliata",9201289,"f"
"Mercurialis annua",9201290,"Mercurialis annua",9201290,"f"
"Mercurialis perennis",9201291,"Mercurialis perennis",9201291,"f"
"Milium effusum",9201296,"Milium effusum",9201296,"g"
"Mimulus guttatus",9204328,"Mimulus seedling/sp",9201298,"f"
"Mimulus seedling/sp",9201298,"Mimulus seedling/sp",9201298,"f"
"Mnium hornum",820382,"Mnium hornum",820382,"b"
"Mnium sp.",8201183,"Mnium sp.",8201183,"b"
"Moehringia trinervia",9201305,"Moehringia trinervia",9201305,"f"
"Moenchia erecta",9201306,"Moenchia erecta",9201306,"f"
"Molinia caerulea",9201307,"Molinia caerulea",9201307,"g"
"Moneses uniflora",9201308,"Moneses uniflora",9201308,"f"
"Montia fontana",9201312,"Montia fontana",9201312,"f"
"Mycelis muralis",9201315,"Mycelis muralis",9201315,"f"
"Mylia taylorii",810854,"Mylia taylorii",810854,"b"
"Myosotis arvensis",9201317,"Myosotis arvensis",9201317,"f"
"Myosotis discolor",9201321,"Myosotis discolor",9201321,"f"
"Myosotis laxa",9201319,"Myosotis laxa",9201319,"f"
"Myosotis scorpioides",9201322,"Myosotis scorpioides",9201322,"f"
"Myosotis secunda",9201323,"Myosotis secunda",9201323,"f"
"Myosotis seedling/sp",9204542,"Myosotis seedling/sp",9204542,"f"
"Myosotis sylvatica",9201325,"Myosotis sylvatica",9201325,"f"
"Myrica gale",9201328,"Myrica gale",9201328,"w"
"Myrrhis odorata",9201333,"Myrrhis odorata",9201333,"f"
"Narcissus pseudonarcissus",9205478,"Narcissus pseudonarcissus",9205478,"f"
"Nardia scalaris",810858,"Nardia scalaris",810858,"b"
"Nardus stricta",9201344,"Nardus stricta",9201344,"g"
"Narthecium ossifragum",9201345,"Narthecium ossifragum",9201345,"m"
"Neckera crispa",820402,"Neckera crispa",820402,"b"
"Neckera sp.",NA,"Neckera sp.",NA,"b"
"Nothofagus nervosa",9204407,"Nothofagus nervosa",9204407,"w"
"Nymphaea alba",9201358,"Nymphaea alba",9201358,"f"
"Odontites vernus",9201361,"Odontites vernus",9201361,"f"
"Odontoschisma denudatum",810860,"Odontoschisma denudatum",810860,"b"
"Odontoschisma sphagni",810863,"Odontoschisma sphagni",810863,"b"
"Oenanthe crocata",9201363,"Oenanthe crocata",9201363,"f"
"Onopordum acanthium",9201379,"Onopordum acanthium",9201379,"f"
"Ophioglossum vulgatum",9101381.2,"Ophioglossum vulgatum",9101381.2,"fe"
"Orchis mascula",9201387,"Orchis mascula",9201387,"m"
"Oreopteris limbosperma",9102051,"Oreopteris limbosperma",9102051,"fe"
"Origanum vulgare",9201393,"Origanum vulgare",9201393,"f"
"Orobanche sp.",200001585,"Orobanche sp.",200001585,"f"
"Orthilia secunda",9201410,"Orthilia secunda",9201410,"f"
"Orthodontium lineare",820411,"Orthodontium lineare",820411,"b"
"Osmunda regalis",9101411,"Osmunda regalis",9101411,"fe"
"Oxalis acetosella",9201413,"Oxalis acetosella",9201413,"f"
"Oxalis sp.",200001644,"Oxalis sp.",200001644,"f"
"Parietaria judaica",9201435,"Parietaria judaica",9201435,"f"
"Paris quadrifolia",9201436,"Paris quadrifolia",9201436,"m"
"Parnassia palustris",9201437,"Parnassia palustris",9201437,"f"
"Pastinaca sativa",9201440,"Pastinaca sativa",9201440,"f"
"Pedicularis palustris",9201441,"Pedicularis palustris",9201441,"f"
"Pedicularis sp.",200001645,"Pedicularis sp.",200001645,"f"
"Pedicularis sylvatica",9201442,"Pedicularis sylvatica",9201442,"f"
"Pellia epiphylla",810867,"Pellia sp.",8101323,"b"
"Pellia sp",8101323,"Pellia sp.",8101323,"b"
"Pellia sp.",8101323,"Pellia sp.",8101323,"b"
"Pellia spp",8101323,"Pellia sp.",8101323,"b"
"Peltigera canina",5503836,"Peltigera sp.",5505248,"l"
"Peltigera sp.",5505248,"Peltigera sp.",5505248,"l"
"Pentaglottis sempervirens",9201443,"Pentaglottis sempervirens",9201443,"f"
"Persicaria amphibia",9201521,"Persicaria amphibia",9201521,"f"
"Persicaria amplexicaulis",9202246,"Persicaria amplexicaulis",9202246,"f"
"Persicaria bistorta",9201525,"Persicaria bistorta",9201525,"f"
"Persicaria hydropiper",9201530,"Persicaria hydropiper",9201530,"f"
"Persicaria lapathifolia",9201531,"Persicaria lapathifolia",9201531,"f"
"Persicaria maculosa",9201537,"Persicaria maculosa",9201537,"f"
"Persicaria vivipara",9201543,"Persicaria vivipara",9201543,"f"
"Petasites fragrans",9201446,"Petasites spp.",200001696,"f"
"Petasites hybridus",9201447,"Petasites spp.",200001696,"f"
"Petasites spp.",200001696,"Petasites spp.",200001696,"f"
"Phalaris arundinacea",9201454,"Phalaris arundinacea",9201454,"g"
"Phalaris sp.",200001647,"Phalaris sp.",200001647,"g"
"Phegopteris connectilis",9102053,"Phegopteris connectilis",9102053,"fe"
"Philonotis fontana",820439,"Philonotis fontana",820439,"b"
"Phleum pratense sens.lat.",9202247,"Phleum pratense sens.lat.",9202247,"g"
"Phragmites australis",9201465,"Phragmites australis",9201465,"g"
"Phyllitis scolopendrium",9101466,"Phyllitis scolopendrium",9101466,"fe"
"Physcomitrium pyriforme",820443,"Physcomitrium pyriforme",820443,"b"
"Picea abies",9201470,"Picea abies",9201470,"w"
"Picea sitchensis",9202401,"Picea sitchensis",9202401,"w"
"Picea sp",9205155,"Picea sp",9205155,"w"
"Picris echioides",9201471,"Picris echioides",9201471,"f"
"Pilosella officinarum",920976,"Pilosella officinarum",920976,"f"
"Pimpinella major",9201475,"Pimpinella major",9201475,"f"
"Pimpinella saxifraga",9201476,"Pimpinella saxifraga",9201476,"f"
"Pinguicula lusitanica",9201480,"Pinguicula lusitanica",9201480,"f"
"Pinguicula vulgaris",9201481,"Pinguicula vulgaris",9201481,"f"
"Pinus contorta",9202402,"Pinus contorta",9202402,"w"
"Pinus nigra",9201482,"Pinus nigra",9201482,"w"
"Pinus sp./seedling",9204546,"Pinus sp./seedling",9204546,"w"
"Pinus sylvestris",9201484,"Pinus sylvestris",9201484,"w"
"Plagiochila asplenioides sens.lat.",810872,"Plagiochila asplenoides",810872,"b"
"Plagiochila asplenoides",810872,"Plagiochila asplenoides",810872,"b"
"Plagiochila porelloides",810872.1,"Plagiochila porelloides",810872.1,"b"
"Plagiochila sp",200001105,"Plagiochila sp",200001105,"b"
"Plagiochila spinulosa agg.",810874,"Plagiochila spinulosa agg.",810874,"b"
"Plagiomnium affine",820379,"Plagiomnium affine",820379,"b"
"Plagiomnium rostratum",820383,"Plagiomnium rostratum",820383,"b"
"Plagiomnium sp.",200001447,"Plagiomnium sp.",200001447,"b"
"Plagiomnium undulatum",820395,"Plagiomnium undulatum",820395,"b"
"Plagiothecium denticulatum",820449,"Plagiothecium denticulatum",820449,"b"
"Plagiothecium nemorale",820456,"Plagiothecium nemorale",820456,"b"
"Plagiothecium sp",8201206,"Plagiothecium sp",8201206,"b"
"Plagiothecium undulatum",820459,"Plagiothecium undulatum",820459,"b"
"Plantago coronopus",9201485,"Plantago coronopus",9201485,"f"
"Plantago lanceolata",9201487,"Plantago lanceolata",9201487,"f"
"Plantago major",9201488,"Plantago major",9201488,"f"
"Platanthera chlorantha",9201493,"Platanthera chlorantha",9201493,"m"
"Pleurozia purpurea",810881,"Pleurozia purpurea",810881,"b"
"Pleurozium schreberi",820463,"Pleurozium schreberi",820463,"b"
"Poa angustifolia",9201506.2,"Poa angustifolia",9201506.2,"g"
"Poa annua",9201495,"Poa annua",9201495,"g"
"Poa nemoralis",9201504,"Poa nemoralis/trivialis",200001593,"g"
"Poa nemoralis/trivialis",200001593,"Poa nemoralis/trivialis",200001593,"g"
"Poa humilis",9201506.5,"Poa pratensis sens.lat.",9201506,"g"
"Poa pratensis sens.lat.",9201506,"Poa pratensis sens.lat.",9201506,"g"
"Poa sp.",9204547,"Poa sp.",9204547,"g"
"Poa trivialis",9201507,"Poa nemoralis/trivialis",200001593,"g"
"Pogonatum aloides",820479,"Pogonatum aloides",820479,"b"
"Pohlia carnea",820470,"Pohlia carnea",820470,"b"
"Pohlia nutans",820475,"Pohlia nutans",820475,"b"
"Pohlia sp.",8201213,"Pohlia sp.",8201213,"b"
"Polygala calcarea",9201512,"Polygala calcarea",9201512,"f"
"Polygala oxyptera",9201515,"Polygala oxyptera",9201515,"f"
"Polygala serpyllifolia",9201514,"Polygala serpyllifolia",9201514,"f"
"Polygala sp.",9204548,"Polygala sp.",9204548,"f"
"Polygala vulgaris/serpyllifolia",20000323,"Polygala vulgaris/serpyllifolia",20000323,"f"
"Polygonatum multiflorum",9201516,"Polygonatum multiflorum",9201516,"m"
"Polygonatum odoratum",9201518,"Polygonatum odoratum",9201518,"m"
"Polygonum arenastrum",9201520,"Polygonum arenastrum",9201520,"f"
"Polygonum aviculare agg.",9201522,"Polygonum aviculare agg.",9201522,"f"
"Polygonum lapathifolium",9201531,"Polygonum lapathifolium",9201531,"f"
"Polygonum sp.",9204549,"Polygonum sp.",9204549,"f"
"Polypodium interjectum",9101544.3,"Polypodium sp.",200001676,"fe"
"Polypodium sp.",200001676,"Polypodium sp.",200001676,"fe"
"Polypodium vulgare sens.lat.",9101544,"Polypodium sp.",200001676,"fe"
"Polystichum aculeatum",9101546,"Polystichum aculeatum",9101546,"fe"
"Polystichum setiferum",9101548,"Polystichum setiferum",9101548,"fe"
"Polystichum setiferum/aculeatum",20000330,"Polystichum setiferum/aculeatum",20000330,"fe"
"Polystichum sp.",9104651,"Polystichum sp.",9104651,"fe"
"Polytrichum commune",820482,"Polytrichum commune",820482,"b"
"Polytrichum formosum",820483,"Polytrichum formosum",820483,"b"
"Polytrichum juniperinum",820485,"Polytrichum juniperinum",820485,"b"
"Polytrichum piliferum",820488,"Polytrichum piliferum",820488,"b"
"Polytrichum sp",8201214,"Polytrichum sp",8201214,"b"
"Poo",20000887.6,"Poo",20000887.6,""
"Populus alba",9201549,"Populus alba",9201549,"w"
"Populus canescens",9201551,"Populus canescens",9201551,"w"
"Populus deltoides",9204550,"Populus deltoides",9204550,"w"
"Populus nigra",9204313,"Populus nigra",9204313,"w"
"Populus sp",200001651,"Populus sp",200001651,"w"
"Populus tremula",9201555,"Populus tremula",9201555,"w"
"Potamogeton natans",9201570,"Potamogeton natans",9201570,"aq"
"Potamogeton polygonifolius",9201576,"Potamogeton polygonifolius",9201576,"aq"
"Potamogeton sp.",9204551,"Potamogeton sp.",9204551,"aq"
"Potentilla anserina",9201584,"Potentilla anserina",9201584,"f"
"Potentilla erecta",9201588,"Potentilla erecta",9201588,"f"
"Potentilla palustris",9201592,"Potentilla palustris",9201592,"f"
"Potentilla recta",9201593,"Potentilla recta",9201593,"f"
"Potentilla reptans",9201594,"Potentilla reptans",9201594,"f"
"Potentilla sp.",9205173,"Potentilla sp.",9205173,"f"
"Potentilla sterilis",9201596,"Potentilla sterilis",9201596,"f"
"Pottia sp.",8201215,"Pottia sp.",8201215,"b"
"Pottia truncata",820501,"Pottia truncata",820501,"b"
"Primula elatior",9201600,"Primula elatior",9201600,"f"
"Primula sp.",200001654,"Primula sp.",200001654,"f"
"Primula veris",9201605,"Primula veris",9201605,"f"
"Primula vulgaris",9201607,"Primula vulgaris",9201607,"f"
"Prunella vulgaris",9201610,"Prunella vulgaris",9201610,"f"
"Prunus avium",9201611,"Prunus avium",9201611,"w"
"Prunus cerasus",9201613,"Prunus cerasus",9201613,"w"
"Prunus domestica",9201614,"Prunus domestica",9201614,"w"
"Prunus laurocerasus",9201615,"Prunus laurocerasus",9201615,"w"
"Prunus padus",9201616,"Prunus padus",9201616,"w"
"Prunus sp.",9204552,"Prunus sp.",9204552,"w"
"Prunus spinosa",9201617,"Prunus spinosa",9201617,"w"
"Pseudephemerum nitidum",820503,"Pseudephemerum nitidum",820503,"b"
"Pseudoscleropodium purum",820507,"Pseudoscleropodium purum",820507,"b"
"Pseudotsuga menziesii",9201618,"Pseudotsuga menziesii",9201618,"w"
"Pseudotsuga spp.",9205178,"Pseudotsuga spp.",9205178,"w"
"Pteridium aquilinum",9101619,"Pteridium aquilinum",9101619,"fe"
"Ptilidium ciliare",810888,"Ptilidium ciliare",810888,"b"
