BRC_NAME,BRC_NUMBER,AMALG_BRC_NAME,AMALG_BRC_CODE,SouthWest,South,SouthEast,East,WalesandNW,NorthernIreland,Scotland,NorthEast,EastMidlands
Helleborus viridis,NA,Helleborus sp.,200004000,Y,Y,Y,Y,,,,Y,Y
Holcus mollis,920984,Holcus mollis,920984,Y,Y,Y,,,,,,
Hordelymus europaeus,920989,Hordelymus europaeus,920989,,Y,,Y,,,,Y,Y
Hyacinthoides non-scripta,920687,Hyacinthoides non-scripta,920687,Y,Y,Y,Y,Y,Y,,Y,Y
Hymenophyllum tunbrigense,NA,NA,NA,Y,,,,,,,,
Hymenophyllum wilsonii,9101001,Hymenophyllum wilsonii,9101001,,,,,Y,,,,
Hypericum androsaemum,9201003,Hypericum androsaemum,9201003,Y,Y,Y,Y,Y,,,,
Hypericum hirsutum,9201010,Hypericum hirsutum,9201010,,,,Y,Y,,,Y,Y
Hypericum humifusum,9201011,Hypericum humifusum,9201011,,,,,,,,Y,
Hypericum perforatum,9201014,Hypericum perforatum,9201014,,,,,,,,Y,
Hypericum pulchrum,9201015,Hypericum pulchrum,9201015,Y,Y,Y,Y,Y,Y,,Y,Y
Hypericum tetrapterum,9201016,Hypericum tetrapterum,9201016,,,,,,,,Y,Y
Iris foetidissima,9201036,Iris foetidissima,9201036,Y,Y,Y,Y,Y,,,,
Juniperus communis,9201080,Juniperus communis,9201080,,,,,,,,Y,
Lamiastrum galeobdolon,920862,Lamiastrum galeobdolon,920862,Y,Y,Y,Y,Y,,,Y,Y
Lathraea squamaria,9201107,Lathraea squamaria,9201107,Y,Y,Y,Y,,,Y,Y,Y
Lathyrus linifolius,9201112,Lathyrus linifolius,9201112,Y,Y,Y,Y,Y,,,,Y
Lathyrus sylvestris,9201117,Lathyrus sylvestris,9201117,Y,Y,Y,Y,,,,,
Linnaea borealis,NA,NA,NA,,,,,,,Y,,
Listera ovata,9201173,Listera ovata,9201173,,,,,,,,,
Lonicera periclymenum,9201188,Lonicera periclymenum,9201188,,,,,Y,Y,,,Y
Luzula forsteri,9201202,Luzula forsteri,9201202,Y,Y,Y,,Y,,,,
Luzula pilosa,9201207,Luzula pilosa,9201207,Y,Y,Y,Y,Y,Y,Y,Y,Y
Luzula sylvatica,9201209,Luzula sylvatica,9201209,Y,Y,Y,Y,Y,Y,,Y,Y
Lysimachia nemorum,9201221,Lysimachia nemorum,9201221,Y,Y,Y,Y,Y,Y,Y,Y,Y
Lysimachia vulgaris,9201225,Lysimachia vulgaris,9201225,,,,,,,,,
Lythrum portula,9201444,Lythrum portula,9201444,,,,Y,,,,,
Maianthemum bifolium,NA,NA,NA,,,,Y,,,,,Y
Malus sylvestris,9201230,Malus sylvestris,9201230,Y,Y,Y,Y,Y,,,,
Melampyrum cristatum,9201255,Melampyrum cristatum,9201255,,,,Y,,,,,
Melampyrum pratense,9201256,Melampyrum pratense,9201256,Y,Y,Y,Y,Y,,Y,Y,Y
Melampyrum sylvaticum,9201257,Melampyrum sylvaticum,9201257,,,,,,,,Y,
Melica nutans,9201262,Melica nutans,9201262,,,,,,,,Y,Y
Melica uniflora,9201263,Melica uniflora,9201263,Y,Y,Y,Y,Y,,Y,Y,Y
Melittis melissophyllum,9201269,Melittis melissophyllum,9201269,Y,,,,,,,,
Mercurialis perennis,9201291,Mercurialis perennis,9201291,,,,Y,Y,,Y,Y,Y
Milium effusum,9201296,Milium effusum,9201296,Y,Y,Y,Y,Y,,Y,Y,Y
Moehringia trinervia,9201305,Moehringia trinervia,9201305,Y,Y,Y,Y,Y,,Y,,
Moneses uniflora,9201308,Moneses uniflora,9201308,,,,,,,Y,,
Monotropa hypopitys,NA,NA,NA,,,,,,,,,
Myosotis sylvatica,9201325,Myosotis sylvatica,9201325,,,,Y,Y,,Y,Y,Y
Narcissus pseudonarcissus,9205478,Narcissus pseudonarcissus,9205478,Y,Y,Y,Y,,,,,Y
Neottia nidus-avis,NA,NA,NA,Y,Y,Y,Y,,,Y,Y,Y
Ophioglossum vulgatum,9101381.2,Ophioglossum vulgatum,9101381.2,,,,Y,,,,,
Ophyrys insectifera,NA,Ophyrys sp.,9205115,,,,Y,,,,,
Orchis mascula,9201387,Orchis mascula,9201387,Y,Y,Y,Y,Y,Y,,Y,Y
Orchis purpurea,NA,NA,NA,,,Y,,,,,,
Oreopteris limbosperma,9102051,Oreopteris limbosperma,9102051,Y,Y,Y,Y,Y,,,,Y
Orobanche hederae,NA,Orobanche sp.,200001585,,,,,,,,,
Orthilia secunda,9201410,Orthilia secunda,9201410,,,,,,,Y,,
Oxalis acetosella,9201413,Oxalis acetosella,9201413,Y,Y,Y,Y,Y,Y,,Y,Y
Paris quadrifolia,9201436,Paris quadrifolia,9201436,Y,Y,Y,Y,Y,,Y,Y,Y
Phegopteris connectilis,9102053,Phegopteris connectilis,9102053,Y,,,,Y,,Y,Y,
Phyllitis scolopendrium,9101466,Phyllitis scolopendrium,9101466,Y,Y,Y,,,,,,Y
Pimpinella major,9201475,Pimpinella major,9201475,,,Y,Y,,,,,
Platanthera chlorantha,9201493,Platanthera chlorantha,9201493,Y,Y,Y,Y,Y,,,,Y
Poa nemoralis,9201504,Poa nemoralis/trivialis,200001593,Y,Y,Y,Y,,,,Y,
Polygonatum multiflorum,9201516,Polygonatum multiflorum,9201516,Y,Y,Y,,Y,,,,Y
Polygonatum odoratum,9201518,Polygonatum odoratum,9201518,,,,,,,,,Y
Polygonatum verticillatum,NA,NA,NA,,,,,,,Y,,
Polystichum aculeatum,9101546,Polystichum aculeatum,9101546,Y,Y,Y,Y,Y,Y,,Y,Y
Polystichum setiferum,9101548,Polystichum setiferum,9101548,Y,,Y,Y,Y,,Y,Y,Y
Potentilla sterilis,9201596,Potentilla sterilis,9201596,Y,Y,Y,Y,Y,Y,,,Y
Primula elatior,9201600,Primula elatior,9201600,,,,Y,,,,,
Primula vulgaris,9201607,Primula vulgaris,9201607,Y,Y,Y,Y,Y,,,,Y
Prunus avium,9201611,Prunus avium,9201611,Y,Y,Y,Y,Y,,,,Y
Prunus padus,9201616,Prunus padus,9201616,,,,Y,Y,,,,Y
Pulmonaria longifolia,9201627,Pulmonaria longifolia,9201627,Y,Y,,,,,,,
Pulmonaria obscura,NA,NA,NA,,,,Y,,,,,
Pyrola minor,9201631,Pyrola minor,9201631,,,,,,,,,Y
Pyrus communis,9201633,Pyrus communis,9201633,,,,Y,,,,,
Radiola linoides,9201641,Radiola linoides,9201641,,,Y,Y,,,,,
Ranunculus auricomus,9201645,Ranunculus auricomus,9201645,Y,Y,Y,Y,Y,,Y,Y,Y
Rhamnus cathartica,9201675,Rhamnus cathartica,9201675,,,,,Y,,,,Y
Ribes nigrum,9201694,Ribes nigrum/rubrum,200001589,Y,Y,Y,Y,Y,,Y,,
Ribes rubrum,9201696,Ribes nigrum/rubrum,200001589,Y,Y,Y,Y,,,Y,,
Ribes spicatum,9201695,Ribes spicatum,9201695,,,,,,,,Y,
Ribes uva-crispa,9201697,Ribes uva-crispa,9201697,,,,,,,Y,,
Rosa arvensis,9201707,Rosa seedling/sp,9201705,Y,Y,Y,,Y,,,,Y
Rubus caesius,9201726,Rubus caesius,9201726,,,,,,,,,Y
Rubus saxatilis,9201730,Rubus saxatilis,9201730,,,,,,,,,Y
Ruscus aculeatus,9201760,Ruscus aculeatus,9201760,Y,Y,Y,Y,,,,,
Salix aurita,9201787,Salix aurita,9201787,,,,,,,,,
Sanicula europaea,9201819,Sanicula europaea,9201819,Y,Y,Y,Y,Y,Y,Y,Y,Y
Scirpus sylvaticus,9201861,Scirpus sylvaticus,9201861,Y,Y,Y,,,,,,Y
Scrophularia nodosa,9201867,Scrophularia nodosa,9201867,,,,,Y,,Y,,Y
Scutellaria minor,9201874,Scutellaria minor,9201874,,,Y,,,,,,
Sedum telephium,9201885,Sedum telephium,9201885,Y,Y,Y,Y,,,,,
Senecio aquaticus,9201891,Senecio aquaticus,9201891,,,,,,Y,,,
Serratula tinctoria,9201906,Serratula tinctoria,9201906,,Y,Y,,,,,,
Sibthorpia europaea,9201914,Sibthorpia europaea,9201914,Y,,,,,,,,
Silene dioica,9201259,Silene dioica,9201259,,,,,,,,,
Solidago virgaurea,9201951,Solidago virgaurea,9201951,Y,Y,Y,,Y,,,,Y
Sorbus torminalis,9201977,Sorbus torminalis,9201977,Y,Y,Y,Y,Y,,,Y,Y
Stachys officinalis,920237,Stachys officinalis,920237,Y,Y,Y,Y,,,,,Y
Stachys sylvatica,9202005,Stachys sylvatica,9202005,,,,,,,,,
Stellaria holostea,9202010,Stellaria holostea,9202010,,,,,Y,Y,,Y,Y
Stellaria neglecta,9202013,Stellaria neglecta,9202013,,,,Y,Y,,,,Y
Stellaria nemorum,9202014,Stellaria nemorum,9202014,,,,,Y,,Y,Y,Y
Tamus communis,9202032,Tamus communis,9202032,Y,Y,Y,Y,Y,,,,Y
Taxus baccata,9202039,Taxus baccata,9202039,,,,,Y,,,,
Tilia cordata,9202063,Tilia cordata,9202063,Y,Y,Y,Y,Y,,,Y,Y
Tilia platyphyllos,9202064,Tilia platyphyllos,9202064,,,,,,,,,Y
Trichomanes speciosum,NA,NA,NA,,,,,,,Y,,
Trollius europaeus,9202106,Trollius europaeus,9202106,,,,,,,,,Y
Vaccinium myrtillus,9202136,Vaccinium myrtillus,9202136,Y,Y,Y,,,,,,
Valeriana officinalis,9202140,Valeriana officinalis,9202140,,,,,,Y,,,Y
Veronica montana,9202172,Veronica montana,9202172,Y,Y,Y,Y,Y,Y,Y,Y,Y
Viburnum opulus,9202185,Viburnum opulus,9202185,Y,Y,Y,Y,Y,,,Y,Y
Vicia sepium,9202198,Vicia sepium,9202198,Y,Y,Y,Y,Y,,,,Y
Vicia sylvatica,9202199,Vicia sylvatica,9202199,Y,Y,Y,,,,,Y,Y
Viola odorata,9202214,Viola odorata,9202214,,,,Y,Y,,,,
Viola palustris,9202215,Viola palustris,9202215,Y,Y,Y,,,,,,Y
Viola reichenbachiana,9202217,Viola riviniana/reichenbiana,200001595,Y,Y,Y,Y,Y,,,Y,Y
Viola riviniana,9202218,Viola riviniana/reichenbiana,200001595,,,,,,Y,,,Y
Wahlenbergia hederacea,9202230,Wahlenbergia hederacea,9202230,Y,,Y,,,,,,
